,file_name,sequence,prediction
0,1.mid,"[47, 54, 62, 69, 73]",47
1,1.mid,"[54, 62, 69, 73, 47]",54
2,1.mid,"[62, 69, 73, 47, 54]",62
3,1.mid,"[69, 73, 47, 54, 62]",69
4,1.mid,"[73, 47, 54, 62, 69]",73
5,1.mid,"[47, 54, 62, 69, 73]",47
6,1.mid,"[54, 62, 69, 73, 47]",59
7,1.mid,"[62, 69, 73, 47, 59]",62
8,1.mid,"[69, 73, 47, 59, 62]",66
9,1.mid,"[73, 47, 59, 62, 66]",69
10,1.mid,"[47, 59, 62, 66, 69]",47
11,1.mid,"[59, 62, 66, 69, 47]",59
12,1.mid,"[62, 66, 69, 47, 59]",62
13,1.mid,"[66, 69, 47, 59, 62]",66
14,1.mid,"[69, 47, 59, 62, 66]",69
15,1.mid,"[47, 59, 62, 66, 69]",52
16,1.mid,"[59, 62, 66, 69, 52]",59
17,1.mid,"[62, 66, 69, 52, 59]",62
18,1.mid,"[66, 69, 52, 59, 62]",67
19,1.mid,"[69, 52, 59, 62, 67]",71
20,1.mid,"[52, 59, 62, 67, 71]",74
21,1.mid,"[59, 62, 67, 71, 74]",52
22,1.mid,"[62, 67, 71, 74, 52]",59
23,1.mid,"[67, 71, 74, 52, 59]",62
24,1.mid,"[71, 74, 52, 59, 62]",67
25,1.mid,"[74, 52, 59, 62, 67]",71
26,1.mid,"[52, 59, 62, 67, 71]",74
27,1.mid,"[59, 62, 67, 71, 74]",50
28,1.mid,"[62, 67, 71, 74, 50]",61
29,1.mid,"[67, 71, 74, 50, 61]",66
30,1.mid,"[71, 74, 50, 61, 66]",69
31,1.mid,"[74, 50, 61, 66, 69]",76
32,1.mid,"[50, 61, 66, 69, 76]",50
33,1.mid,"[61, 66, 69, 76, 50]",61
34,1.mid,"[66, 69, 76, 50, 61]",66
35,1.mid,"[69, 76, 50, 61, 66]",69
36,1.mid,"[76, 50, 61, 66, 69]",76
37,1.mid,"[50, 61, 66, 69, 76]",47
38,1.mid,"[61, 66, 69, 76, 47]",54
39,1.mid,"[66, 69, 76, 47, 54]",62
40,1.mid,"[69, 76, 47, 54, 62]",69
41,1.mid,"[76, 47, 54, 62, 69]",73
42,1.mid,"[47, 54, 62, 69, 73]",47
43,1.mid,"[54, 62, 69, 73, 47]",54
44,1.mid,"[62, 69, 73, 47, 54]",62
45,1.mid,"[69, 73, 47, 54, 62]",69
46,1.mid,"[73, 47, 54, 62, 69]",73
47,1.mid,"[47, 54, 62, 69, 73]",47
48,1.mid,"[54, 62, 69, 73, 47]",59
49,1.mid,"[62, 69, 73, 47, 59]",62
50,1.mid,"[69, 73, 47, 59, 62]",66
51,1.mid,"[73, 47, 59, 62, 66]",69
52,1.mid,"[47, 59, 62, 66, 69]",47
53,1.mid,"[59, 62, 66, 69, 47]",59
54,1.mid,"[62, 66, 69, 47, 59]",62
55,1.mid,"[66, 69, 47, 59, 62]",66
56,1.mid,"[69, 47, 59, 62, 66]",69
57,1.mid,"[47, 59, 62, 66, 69]",52
58,1.mid,"[59, 62, 66, 69, 52]",59
59,1.mid,"[62, 66, 69, 52, 59]",62
60,1.mid,"[66, 69, 52, 59, 62]",67
61,1.mid,"[69, 52, 59, 62, 67]",71
62,1.mid,"[52, 59, 62, 67, 71]",74
63,1.mid,"[59, 62, 67, 71, 74]",52
64,1.mid,"[62, 67, 71, 74, 52]",59
65,1.mid,"[67, 71, 74, 52, 59]",62
66,1.mid,"[71, 74, 52, 59, 62]",67
67,1.mid,"[74, 52, 59, 62, 67]",71
68,1.mid,"[52, 59, 62, 67, 71]",74
69,1.mid,"[59, 62, 67, 71, 74]",50
70,1.mid,"[62, 67, 71, 74, 50]",61
71,1.mid,"[67, 71, 74, 50, 61]",66
72,1.mid,"[71, 74, 50, 61, 66]",69
73,1.mid,"[74, 50, 61, 66, 69]",76
74,1.mid,"[50, 61, 66, 69, 76]",50
75,1.mid,"[61, 66, 69, 76, 50]",61
76,1.mid,"[66, 69, 76, 50, 61]",66
77,1.mid,"[69, 76, 50, 61, 66]",69
78,1.mid,"[76, 50, 61, 66, 69]",76
79,1.mid,"[50, 61, 66, 69, 76]",47
80,1.mid,"[61, 66, 69, 76, 47]",54
81,1.mid,"[66, 69, 76, 47, 54]",62
82,1.mid,"[69, 76, 47, 54, 62]",69
83,1.mid,"[76, 47, 54, 62, 69]",73
84,1.mid,"[47, 54, 62, 69, 73]",47
85,1.mid,"[54, 62, 69, 73, 47]",54
86,1.mid,"[62, 69, 73, 47, 54]",62
87,1.mid,"[69, 73, 47, 54, 62]",69
88,1.mid,"[73, 47, 54, 62, 69]",73
89,10.mid,"[45, 69, 72, 64, 83]",86
90,10.mid,"[69, 72, 64, 83, 86]",45
91,10.mid,"[72, 64, 83, 86, 45]",64
92,10.mid,"[64, 83, 86, 45, 64]",69
93,10.mid,"[83, 86, 45, 64, 69]",72
94,10.mid,"[86, 45, 64, 69, 72]",83
95,10.mid,"[45, 64, 69, 72, 83]",86
96,10.mid,"[64, 69, 72, 83, 86]",64
97,10.mid,"[69, 72, 83, 86, 64]",64
98,10.mid,"[72, 83, 86, 64, 64]",67
99,10.mid,"[83, 86, 64, 64, 67]",67
100,10.mid,"[86, 64, 64, 67, 67]",76
101,10.mid,"[64, 64, 67, 67, 76]",76
102,10.mid,"[64, 67, 67, 76, 76]",52
103,10.mid,"[67, 67, 76, 76, 52]",64
104,10.mid,"[67, 76, 76, 52, 64]",67
105,10.mid,"[76, 76, 52, 64, 67]",71
106,10.mid,"[76, 52, 64, 67, 71]",86
107,10.mid,"[52, 64, 67, 71, 86]",78
108,10.mid,"[64, 67, 71, 86, 78]",52
109,10.mid,"[67, 71, 86, 78, 52]",64
110,10.mid,"[71, 86, 78, 52, 64]",67
111,10.mid,"[86, 78, 52, 64, 67]",71
112,10.mid,"[78, 52, 64, 67, 71]",78
113,10.mid,"[52, 64, 67, 71, 78]",86
114,10.mid,"[64, 67, 71, 78, 86]",66
115,10.mid,"[67, 71, 78, 86, 66]",66
116,10.mid,"[71, 78, 86, 66, 66]",76
117,10.mid,"[78, 86, 66, 66, 76]",76
118,10.mid,"[86, 66, 66, 76, 76]",71
119,10.mid,"[66, 66, 76, 76, 71]",71
120,10.mid,"[66, 76, 76, 71, 71]",79
121,10.mid,"[76, 76, 71, 71, 79]",79
122,10.mid,"[76, 71, 71, 79, 79]",45
123,10.mid,"[71, 71, 79, 79, 45]",69
124,10.mid,"[71, 79, 79, 45, 69]",72
125,10.mid,"[79, 79, 45, 69, 72]",64
126,10.mid,"[79, 45, 69, 72, 64]",83
127,10.mid,"[45, 69, 72, 64, 83]",86
128,10.mid,"[69, 72, 64, 83, 86]",45
129,10.mid,"[72, 64, 83, 86, 45]",64
130,10.mid,"[64, 83, 86, 45, 64]",69
131,10.mid,"[83, 86, 45, 64, 69]",72
132,10.mid,"[86, 45, 64, 69, 72]",83
133,10.mid,"[45, 64, 69, 72, 83]",86
134,10.mid,"[64, 69, 72, 83, 86]",64
135,10.mid,"[69, 72, 83, 86, 64]",64
136,10.mid,"[72, 83, 86, 64, 64]",67
137,10.mid,"[83, 86, 64, 64, 67]",67
138,10.mid,"[86, 64, 64, 67, 67]",76
139,10.mid,"[64, 64, 67, 67, 76]",76
140,10.mid,"[64, 67, 67, 76, 76]",52
141,10.mid,"[67, 67, 76, 76, 52]",64
142,10.mid,"[67, 76, 76, 52, 64]",67
143,10.mid,"[76, 76, 52, 64, 67]",71
144,10.mid,"[76, 52, 64, 67, 71]",86
145,10.mid,"[52, 64, 67, 71, 86]",78
146,10.mid,"[64, 67, 71, 86, 78]",52
147,10.mid,"[67, 71, 86, 78, 52]",64
148,10.mid,"[71, 86, 78, 52, 64]",67
149,10.mid,"[86, 78, 52, 64, 67]",71
150,10.mid,"[78, 52, 64, 67, 71]",78
151,10.mid,"[52, 64, 67, 71, 78]",86
152,10.mid,"[64, 67, 71, 78, 86]",66
153,10.mid,"[67, 71, 78, 86, 66]",66
154,10.mid,"[71, 78, 86, 66, 66]",76
155,10.mid,"[78, 86, 66, 66, 76]",76
156,10.mid,"[86, 66, 66, 76, 76]",79
157,10.mid,"[66, 66, 76, 76, 79]",79
158,11.mid,"[43, 62, 67, 71, 78]",43
159,11.mid,"[62, 67, 71, 78, 43]",62
160,11.mid,"[67, 71, 78, 43, 62]",67
161,11.mid,"[71, 78, 43, 62, 67]",71
162,11.mid,"[78, 43, 62, 67, 71]",78
163,11.mid,"[43, 62, 67, 71, 78]",71
164,11.mid,"[62, 67, 71, 78, 71]",71
165,11.mid,"[67, 71, 78, 71, 71]",67
166,11.mid,"[71, 78, 71, 71, 67]",67
167,11.mid,"[78, 71, 71, 67, 67]",62
168,11.mid,"[71, 71, 67, 67, 62]",62
169,11.mid,"[71, 67, 67, 62, 62]",53
170,11.mid,"[67, 67, 62, 62, 53]",65
171,11.mid,"[67, 62, 62, 53, 65]",69
172,11.mid,"[62, 62, 53, 65, 69]",72
173,11.mid,"[62, 53, 65, 69, 72]",76
174,11.mid,"[53, 65, 69, 72, 76]",53
175,11.mid,"[65, 69, 72, 76, 53]",65
176,11.mid,"[69, 72, 76, 53, 65]",69
177,11.mid,"[72, 76, 53, 65, 69]",72
178,11.mid,"[76, 53, 65, 69, 72]",76
179,11.mid,"[53, 65, 69, 72, 76]",74
180,11.mid,"[65, 69, 72, 76, 74]",74
181,11.mid,"[69, 72, 76, 74, 74]",79
182,11.mid,"[72, 76, 74, 74, 79]",79
183,11.mid,"[76, 74, 74, 79, 79]",67
184,11.mid,"[74, 74, 79, 79, 67]",67
185,11.mid,"[74, 79, 79, 67, 67]",43
186,11.mid,"[79, 79, 67, 67, 43]",62
187,11.mid,"[79, 67, 67, 43, 62]",67
188,11.mid,"[67, 67, 43, 62, 67]",71
189,11.mid,"[67, 43, 62, 67, 71]",78
190,11.mid,"[43, 62, 67, 71, 78]",43
191,11.mid,"[62, 67, 71, 78, 43]",62
192,11.mid,"[67, 71, 78, 43, 62]",67
193,11.mid,"[71, 78, 43, 62, 67]",71
194,11.mid,"[78, 43, 62, 67, 71]",78
195,11.mid,"[43, 62, 67, 71, 78]",71
196,11.mid,"[62, 67, 71, 78, 71]",71
197,11.mid,"[67, 71, 78, 71, 71]",67
198,11.mid,"[71, 78, 71, 71, 67]",67
199,11.mid,"[78, 71, 71, 67, 67]",62
200,11.mid,"[71, 71, 67, 67, 62]",62
201,11.mid,"[71, 67, 67, 62, 62]",53
202,11.mid,"[67, 67, 62, 62, 53]",65
203,11.mid,"[67, 62, 62, 53, 65]",69
204,11.mid,"[62, 62, 53, 65, 69]",72
205,11.mid,"[62, 53, 65, 69, 72]",76
206,11.mid,"[53, 65, 69, 72, 76]",53
207,11.mid,"[65, 69, 72, 76, 53]",65
208,11.mid,"[69, 72, 76, 53, 65]",69
209,11.mid,"[72, 76, 53, 65, 69]",72
210,11.mid,"[76, 53, 65, 69, 72]",76
211,11.mid,"[53, 65, 69, 72, 76]",74
212,11.mid,"[65, 69, 72, 76, 74]",74
213,11.mid,"[69, 72, 76, 74, 74]",79
214,11.mid,"[72, 76, 74, 74, 79]",79
215,11.mid,"[76, 74, 74, 79, 79]",67
216,11.mid,"[74, 74, 79, 79, 67]",67
217,12.mid,"[41, 60, 65, 69, 76]",41
218,12.mid,"[60, 65, 69, 76, 41]",60
219,12.mid,"[65, 69, 76, 41, 60]",65
220,12.mid,"[69, 76, 41, 60, 65]",69
221,12.mid,"[76, 41, 60, 65, 69]",76
222,12.mid,"[41, 60, 65, 69, 76]",50
223,12.mid,"[60, 65, 69, 76, 50]",62
224,12.mid,"[65, 69, 76, 50, 62]",65
225,12.mid,"[69, 76, 50, 62, 65]",69
226,12.mid,"[76, 50, 62, 65, 69]",72
227,12.mid,"[50, 62, 65, 69, 72]",50
228,12.mid,"[62, 65, 69, 72, 50]",62
229,12.mid,"[65, 69, 72, 50, 62]",65
230,12.mid,"[69, 72, 50, 62, 65]",69
231,12.mid,"[72, 50, 62, 65, 69]",72
232,12.mid,"[50, 62, 65, 69, 72]",52
233,12.mid,"[62, 65, 69, 72, 52]",64
234,12.mid,"[65, 69, 72, 52, 64]",67
235,12.mid,"[69, 72, 52, 64, 67]",71
236,12.mid,"[72, 52, 64, 67, 71]",52
237,12.mid,"[52, 64, 67, 71, 52]",64
238,12.mid,"[64, 67, 71, 52, 64]",67
239,12.mid,"[67, 71, 52, 64, 67]",71
240,12.mid,"[71, 52, 64, 67, 71]",79
241,12.mid,"[52, 64, 67, 71, 79]",79
242,12.mid,"[64, 67, 71, 79, 79]",84
243,12.mid,"[67, 71, 79, 79, 84]",84
244,12.mid,"[71, 79, 79, 84, 84]",71
245,12.mid,"[79, 79, 84, 84, 71]",71
246,13.mid,"[46, 65, 70, 73, 46]",65
247,13.mid,"[65, 70, 73, 46, 65]",70
248,13.mid,"[70, 73, 46, 65, 70]",73
249,13.mid,"[73, 46, 65, 70, 73]",75
250,13.mid,"[46, 65, 70, 73, 75]",75
251,13.mid,"[65, 70, 73, 75, 75]",53
252,13.mid,"[70, 73, 75, 75, 53]",65
253,13.mid,"[73, 75, 75, 53, 65]",68
254,13.mid,"[75, 75, 53, 65, 68]",72
255,13.mid,"[75, 53, 65, 68, 72]",53
256,13.mid,"[53, 65, 68, 72, 53]",65
257,13.mid,"[65, 68, 72, 53, 65]",68
258,13.mid,"[68, 72, 53, 65, 68]",72
259,13.mid,"[72, 53, 65, 68, 72]",53
260,13.mid,"[53, 65, 68, 72, 53]",65
261,13.mid,"[65, 68, 72, 53, 65]",68
262,13.mid,"[68, 72, 53, 65, 68]",72
263,13.mid,"[72, 53, 65, 68, 72]",53
264,13.mid,"[53, 65, 68, 72, 53]",65
265,13.mid,"[65, 68, 72, 53, 65]",68
266,13.mid,"[68, 72, 53, 65, 68]",72
267,13.mid,"[72, 53, 65, 68, 72]",77
268,13.mid,"[53, 65, 68, 72, 77]",77
269,13.mid,"[65, 68, 72, 77, 77]",46
270,13.mid,"[68, 72, 77, 77, 46]",65
271,13.mid,"[72, 77, 77, 46, 65]",70
272,13.mid,"[77, 77, 46, 65, 70]",73
273,13.mid,"[77, 46, 65, 70, 73]",46
274,13.mid,"[46, 65, 70, 73, 46]",65
275,13.mid,"[65, 70, 73, 46, 65]",70
276,13.mid,"[70, 73, 46, 65, 70]",73
277,13.mid,"[73, 46, 65, 70, 73]",77
278,13.mid,"[46, 65, 70, 73, 77]",77
279,13.mid,"[65, 70, 73, 77, 77]",82
280,13.mid,"[70, 73, 77, 77, 82]",82
281,13.mid,"[73, 77, 77, 82, 82]",46
282,13.mid,"[77, 77, 82, 82, 46]",65
283,13.mid,"[77, 82, 82, 46, 65]",70
284,13.mid,"[82, 82, 46, 65, 70]",73
285,13.mid,"[82, 46, 65, 70, 73]",46
286,13.mid,"[46, 65, 70, 73, 46]",65
287,13.mid,"[65, 70, 73, 46, 65]",70
288,13.mid,"[70, 73, 46, 65, 70]",73
289,13.mid,"[73, 46, 65, 70, 73]",75
290,13.mid,"[46, 65, 70, 73, 75]",75
291,13.mid,"[65, 70, 73, 75, 75]",53
292,13.mid,"[70, 73, 75, 75, 53]",65
293,13.mid,"[73, 75, 75, 53, 65]",68
294,13.mid,"[75, 75, 53, 65, 68]",72
295,13.mid,"[75, 53, 65, 68, 72]",53
296,13.mid,"[53, 65, 68, 72, 53]",65
297,13.mid,"[65, 68, 72, 53, 65]",68
298,13.mid,"[68, 72, 53, 65, 68]",72
299,13.mid,"[72, 53, 65, 68, 72]",53
300,13.mid,"[53, 65, 68, 72, 53]",65
301,13.mid,"[65, 68, 72, 53, 65]",68
302,13.mid,"[68, 72, 53, 65, 68]",72
303,13.mid,"[72, 53, 65, 68, 72]",53
304,13.mid,"[53, 65, 68, 72, 53]",65
305,13.mid,"[65, 68, 72, 53, 65]",68
306,13.mid,"[68, 72, 53, 65, 68]",72
307,13.mid,"[72, 53, 65, 68, 72]",77
308,13.mid,"[53, 65, 68, 72, 77]",77
309,13.mid,"[65, 68, 72, 77, 77]",46
310,13.mid,"[68, 72, 77, 77, 46]",65
311,13.mid,"[72, 77, 77, 46, 65]",70
312,13.mid,"[77, 77, 46, 65, 70]",73
313,13.mid,"[77, 46, 65, 70, 73]",46
314,13.mid,"[46, 65, 70, 73, 46]",65
315,13.mid,"[65, 70, 73, 46, 65]",70
316,13.mid,"[70, 73, 46, 65, 70]",73
317,13.mid,"[73, 46, 65, 70, 73]",77
318,13.mid,"[46, 65, 70, 73, 77]",77
319,13.mid,"[65, 70, 73, 77, 77]",82
320,13.mid,"[70, 73, 77, 77, 82]",82
321,14.mid,"[36, 60, 64, 55, 69]",36
322,14.mid,"[60, 64, 55, 69, 36]",55
323,14.mid,"[64, 55, 69, 36, 55]",60
324,14.mid,"[55, 69, 36, 55, 60]",64
325,14.mid,"[69, 36, 55, 60, 64]",69
326,14.mid,"[36, 55, 60, 64, 69]",38
327,14.mid,"[55, 60, 64, 69, 38]",62
328,14.mid,"[60, 64, 69, 38, 62]",65
329,14.mid,"[64, 69, 38, 62, 65]",57
330,14.mid,"[69, 38, 62, 65, 57]",67
331,14.mid,"[38, 62, 65, 57, 67]",38
332,14.mid,"[62, 65, 57, 67, 38]",57
333,14.mid,"[65, 57, 67, 38, 57]",62
334,14.mid,"[57, 67, 38, 57, 62]",65
335,14.mid,"[67, 38, 57, 62, 65]",67
336,14.mid,"[38, 57, 62, 65, 67]",40
337,14.mid,"[57, 62, 65, 67, 40]",64
338,14.mid,"[62, 65, 67, 40, 64]",57
339,14.mid,"[65, 67, 40, 64, 57]",59
340,14.mid,"[67, 40, 64, 57, 59]",74
341,14.mid,"[40, 64, 57, 59, 74]",40
342,14.mid,"[64, 57, 59, 74, 40]",57
343,14.mid,"[57, 59, 74, 40, 57]",59
344,14.mid,"[59, 74, 40, 57, 59]",64
345,14.mid,"[74, 40, 57, 59, 64]",74
346,14.mid,"[40, 57, 59, 64, 74]",43
347,14.mid,"[57, 59, 64, 74, 43]",55
348,14.mid,"[59, 64, 74, 43, 55]",59
349,14.mid,"[64, 74, 43, 55, 59]",62
350,14.mid,"[74, 43, 55, 59, 62]",64
351,14.mid,"[43, 55, 59, 62, 64]",69
352,14.mid,"[55, 59, 62, 64, 69]",43
353,14.mid,"[59, 62, 64, 69, 43]",55
354,14.mid,"[62, 64, 69, 43, 55]",59
355,14.mid,"[64, 69, 43, 55, 59]",62
356,14.mid,"[69, 43, 55, 59, 62]",64
357,14.mid,"[43, 55, 59, 62, 64]",69
358,15.mid,"[45, 64, 69, 72, 79]",83
359,15.mid,"[64, 69, 72, 79, 83]",45
360,15.mid,"[69, 72, 79, 83, 45]",64
361,15.mid,"[72, 79, 83, 45, 64]",69
362,15.mid,"[79, 83, 45, 64, 69]",72
363,15.mid,"[83, 45, 64, 69, 72]",79
364,15.mid,"[45, 64, 69, 72, 79]",83
365,15.mid,"[64, 69, 72, 79, 83]",64
366,15.mid,"[69, 72, 79, 83, 64]",64
367,15.mid,"[72, 79, 83, 64, 64]",67
368,15.mid,"[79, 83, 64, 64, 67]",67
369,15.mid,"[83, 64, 64, 67, 67]",48
370,15.mid,"[64, 64, 67, 67, 48]",64
371,15.mid,"[64, 67, 67, 48, 64]",67
372,15.mid,"[67, 67, 48, 64, 67]",72
373,15.mid,"[67, 48, 64, 67, 72]",86
374,15.mid,"[48, 64, 67, 72, 86]",48
375,15.mid,"[64, 67, 72, 86, 48]",64
376,15.mid,"[67, 72, 86, 48, 64]",67
377,15.mid,"[72, 86, 48, 64, 67]",72
378,15.mid,"[86, 48, 64, 67, 72]",86
379,15.mid,"[48, 64, 67, 72, 86]",60
380,15.mid,"[64, 67, 72, 86, 60]",60
381,15.mid,"[67, 72, 86, 60, 60]",69
382,15.mid,"[72, 86, 60, 60, 69]",69
383,15.mid,"[86, 60, 60, 69, 69]",47
384,15.mid,"[60, 60, 69, 69, 47]",66
385,15.mid,"[60, 69, 69, 47, 66]",71
386,15.mid,"[69, 69, 47, 66, 71]",74
387,15.mid,"[69, 47, 66, 71, 74]",81
388,15.mid,"[47, 66, 71, 74, 81]",47
389,15.mid,"[66, 71, 74, 81, 47]",66
390,15.mid,"[71, 74, 81, 47, 66]",71
391,15.mid,"[74, 81, 47, 66, 71]",74
392,15.mid,"[81, 47, 66, 71, 74]",81
393,16.mid,"[41, 60, 65, 69, 76]",79
394,16.mid,"[60, 65, 69, 76, 79]",41
395,16.mid,"[65, 69, 76, 79, 41]",60
396,16.mid,"[69, 76, 79, 41, 60]",65
397,16.mid,"[76, 79, 41, 60, 65]",69
398,16.mid,"[79, 41, 60, 65, 69]",76
399,16.mid,"[41, 60, 65, 69, 76]",79
400,16.mid,"[60, 65, 69, 76, 79]",50
401,16.mid,"[65, 69, 76, 79, 50]",62
402,16.mid,"[69, 76, 79, 50, 62]",65
403,16.mid,"[76, 79, 50, 62, 65]",69
404,16.mid,"[79, 50, 62, 65, 69]",72
405,16.mid,"[50, 62, 65, 69, 72]",50
406,16.mid,"[62, 65, 69, 72, 50]",62
407,16.mid,"[65, 69, 72, 50, 62]",65
408,16.mid,"[69, 72, 50, 62, 65]",69
409,16.mid,"[72, 50, 62, 65, 69]",72
410,16.mid,"[50, 62, 65, 69, 72]",52
411,16.mid,"[62, 65, 69, 72, 52]",64
412,16.mid,"[65, 69, 72, 52, 64]",67
413,16.mid,"[69, 72, 52, 64, 67]",71
414,16.mid,"[72, 52, 64, 67, 71]",74
415,16.mid,"[52, 64, 67, 71, 74]",52
416,16.mid,"[64, 67, 71, 74, 52]",64
417,16.mid,"[67, 71, 74, 52, 64]",67
418,16.mid,"[71, 74, 52, 64, 67]",71
419,16.mid,"[74, 52, 64, 67, 71]",74
420,16.mid,"[52, 64, 67, 71, 74]",41
421,16.mid,"[64, 67, 71, 74, 41]",60
422,16.mid,"[67, 71, 74, 41, 60]",65
423,16.mid,"[71, 74, 41, 60, 65]",69
424,16.mid,"[74, 41, 60, 65, 69]",76
425,16.mid,"[41, 60, 65, 69, 76]",41
426,16.mid,"[60, 65, 69, 76, 41]",60
427,16.mid,"[65, 69, 76, 41, 60]",65
428,16.mid,"[69, 76, 41, 60, 65]",69
429,16.mid,"[76, 41, 60, 65, 69]",76
430,16.mid,"[41, 60, 65, 69, 76]",41
431,16.mid,"[60, 65, 69, 76, 41]",60
432,16.mid,"[65, 69, 76, 41, 60]",65
433,16.mid,"[69, 76, 41, 60, 65]",69
434,16.mid,"[76, 41, 60, 65, 69]",76
435,16.mid,"[41, 60, 65, 69, 76]",79
436,16.mid,"[60, 65, 69, 76, 79]",41
437,16.mid,"[65, 69, 76, 79, 41]",60
438,16.mid,"[69, 76, 79, 41, 60]",65
439,16.mid,"[76, 79, 41, 60, 65]",69
440,16.mid,"[79, 41, 60, 65, 69]",76
441,16.mid,"[41, 60, 65, 69, 76]",79
442,16.mid,"[60, 65, 69, 76, 79]",50
443,16.mid,"[65, 69, 76, 79, 50]",62
444,16.mid,"[69, 76, 79, 50, 62]",65
445,16.mid,"[76, 79, 50, 62, 65]",69
446,16.mid,"[79, 50, 62, 65, 69]",72
447,16.mid,"[50, 62, 65, 69, 72]",50
448,16.mid,"[62, 65, 69, 72, 50]",62
449,16.mid,"[65, 69, 72, 50, 62]",65
450,16.mid,"[69, 72, 50, 62, 65]",69
451,16.mid,"[72, 50, 62, 65, 69]",72
452,16.mid,"[50, 62, 65, 69, 72]",52
453,16.mid,"[62, 65, 69, 72, 52]",64
454,16.mid,"[65, 69, 72, 52, 64]",67
455,16.mid,"[69, 72, 52, 64, 67]",71
456,16.mid,"[72, 52, 64, 67, 71]",74
457,16.mid,"[52, 64, 67, 71, 74]",52
458,16.mid,"[64, 67, 71, 74, 52]",64
459,16.mid,"[67, 71, 74, 52, 64]",67
460,16.mid,"[71, 74, 52, 64, 67]",71
461,16.mid,"[74, 52, 64, 67, 71]",74
462,16.mid,"[52, 64, 67, 71, 74]",41
463,16.mid,"[64, 67, 71, 74, 41]",60
464,16.mid,"[67, 71, 74, 41, 60]",65
465,16.mid,"[71, 74, 41, 60, 65]",69
466,16.mid,"[74, 41, 60, 65, 69]",76
467,16.mid,"[41, 60, 65, 69, 76]",41
468,16.mid,"[60, 65, 69, 76, 41]",60
469,16.mid,"[65, 69, 76, 41, 60]",65
470,16.mid,"[69, 76, 41, 60, 65]",69
471,16.mid,"[76, 41, 60, 65, 69]",76
472,17.mid,"[40, 59, 64, 67, 40]",59
473,17.mid,"[59, 64, 67, 40, 59]",64
474,17.mid,"[64, 67, 40, 59, 64]",67
475,17.mid,"[67, 40, 59, 64, 67]",76
476,17.mid,"[40, 59, 64, 67, 76]",76
477,17.mid,"[59, 64, 67, 76, 76]",48
478,17.mid,"[64, 67, 76, 76, 48]",60
479,17.mid,"[67, 76, 76, 48, 60]",64
480,17.mid,"[76, 76, 48, 60, 64]",67
481,17.mid,"[76, 48, 60, 64, 67]",81
482,17.mid,"[48, 60, 64, 67, 81]",48
483,17.mid,"[60, 64, 67, 81, 48]",60
484,17.mid,"[64, 67, 81, 48, 60]",64
485,17.mid,"[67, 81, 48, 60, 64]",67
486,17.mid,"[81, 48, 60, 64, 67]",81
487,17.mid,"[48, 60, 64, 67, 81]",48
488,17.mid,"[60, 64, 67, 81, 48]",60
489,17.mid,"[64, 67, 81, 48, 60]",64
490,17.mid,"[67, 81, 48, 60, 64]",67
491,17.mid,"[81, 48, 60, 64, 67]",48
492,17.mid,"[48, 60, 64, 67, 48]",60
493,17.mid,"[60, 64, 67, 48, 60]",64
494,17.mid,"[64, 67, 48, 60, 64]",67
495,17.mid,"[67, 48, 60, 64, 67]",76
496,17.mid,"[48, 60, 64, 67, 76]",76
497,17.mid,"[60, 64, 67, 76, 76]",50
498,17.mid,"[64, 67, 76, 76, 50]",62
499,17.mid,"[67, 76, 76, 50, 62]",67
500,17.mid,"[76, 76, 50, 62, 67]",69
501,17.mid,"[76, 50, 62, 67, 69]",50
502,17.mid,"[50, 62, 67, 69, 50]",62
503,17.mid,"[62, 67, 69, 50, 62]",67
504,17.mid,"[67, 69, 50, 62, 67]",69
505,17.mid,"[69, 50, 62, 67, 69]",83
506,17.mid,"[50, 62, 67, 69, 83]",83
507,17.mid,"[62, 67, 69, 83, 83]",81
508,17.mid,"[67, 69, 83, 83, 81]",81
509,17.mid,"[69, 83, 83, 81, 81]",79
510,17.mid,"[83, 83, 81, 81, 79]",79
511,17.mid,"[83, 81, 81, 79, 79]",40
512,17.mid,"[81, 81, 79, 79, 40]",59
513,17.mid,"[81, 79, 79, 40, 59]",64
514,17.mid,"[79, 79, 40, 59, 64]",67
515,17.mid,"[79, 40, 59, 64, 67]",40
516,17.mid,"[40, 59, 64, 67, 40]",59
517,17.mid,"[59, 64, 67, 40, 59]",64
518,17.mid,"[64, 67, 40, 59, 64]",67
519,17.mid,"[67, 40, 59, 64, 67]",76
520,17.mid,"[40, 59, 64, 67, 76]",76
521,17.mid,"[59, 64, 67, 76, 76]",48
522,17.mid,"[64, 67, 76, 76, 48]",60
523,17.mid,"[67, 76, 76, 48, 60]",64
524,17.mid,"[76, 76, 48, 60, 64]",67
525,17.mid,"[76, 48, 60, 64, 67]",81
526,17.mid,"[48, 60, 64, 67, 81]",48
527,17.mid,"[60, 64, 67, 81, 48]",60
528,17.mid,"[64, 67, 81, 48, 60]",64
529,17.mid,"[67, 81, 48, 60, 64]",67
530,17.mid,"[81, 48, 60, 64, 67]",81
531,17.mid,"[48, 60, 64, 67, 81]",48
532,17.mid,"[60, 64, 67, 81, 48]",60
533,17.mid,"[64, 67, 81, 48, 60]",64
534,17.mid,"[67, 81, 48, 60, 64]",67
535,17.mid,"[81, 48, 60, 64, 67]",48
536,17.mid,"[48, 60, 64, 67, 48]",60
